entity_id,total_comments
do_1144377961133506561245,37
do_1143563490917744641336,71
do_113511211686092800174,66
do_1140909373922836481165,242
do_11436769800605696011903,20
do_113672502642122752182,4
do_1142919510609100801394,8
do_11433730511344435211291,12
do_1141021508815011841197,23
do_1143959441402920961111,35
do_1143069162154557441511,192
do_1141085702643466241282,14
do_114247290309926912133,174
do_1142075775888261121504,387
do_1143826140754575361748,13
do_114168161606959104141,127
do_11384383331773644811,459
do_1134970386480578561102,335
do_1143026866910412801222,50
do_1140060346021314561295,45
do_1143924804215275521227,130
do_1140462780219965441311,55
do_1137052622331084801148,1
do_1141535276739706881661,11
do_113827723137204224137,23
do_113574950002180096181,4
do_1143768413472358401289,13
do_11426698022091980812,50
do_11434933669231001611519,26
do_114248786253414400185,34
do_113846063640788992123,33
do_1144498405337989121648,16
do_114125669613076480155_rc,43
do_1143330504943943681299,102
do_11435217822067916815,1
do_1142642986847191041184,36
do_1144476868867194881580,17
do_1140491684038164481311,39
do_114254473355796480199,15
do_11431745367438131211255,4
do_1138629688940789761144,8
do_114095869746700288147,2
do_1144122739444940801269,39
do_1143223076653056001422,45
do_114279191607992320149,2
do_1142743522947235841235,16
do_1142893290914365441259,3
do_113570024197103616141,892
do_1140752602272481281499,219
do_1141389630532648961328,3
do_113813371093295104136,1
do_1136251907496673281378,12
do_1142347126623518721160,648
do_1142685597250846721144,13
do_11436909986997862411169,6
do_1142734577025024001167,18
do_11436131717359206413,66
do_1142884843957125121295,2
do_1141504215956193281250,27
do_1143925681205657601478,11
do_114372530945884160154,21
do_1142033100126535681380,91
do_114378307140263936185,259
do_114124130862407680115,214
do_1143599345002496001532,20
do_1138863921857740801117,126
do_11401233618654822419,75
do_11431749091698278411274,10
do_113922002581708800184,71
do_1137476123538800641220,2
do_1142884669671260161294,2
do_113950852987338752159,1107
do_1141831720558182401106,2
do_113793688081219584124,4
do_1142876163850076161396,3
do_1138976313642106881392,1
do_1138582495875399681109,3
do_1144426344770928641371,13
do_114096645959663616167,1
do_1142876666546257921384,8
do_1139465667819601921108,118
do_1141808071484456961109,4
do_1140322061367951361227,128
do_11438755259104460811102,70
do_114054662458720256197,169
do_114096613957099520178,1
do_1143330594897838081416,17
do_1143025544204451841147,5
do_1143336574348001281886,23
do_114194381465763840164,1
do_1135863288625315841199,7
do_1142035503544565761431,75
do_1142027296981811201333,191
do_1144426254270136321523_rc,1
do_1142125809678172161235,37
do_1143464147817594881254,173
do_1143734532862771201272_rc,7
do_1144426010916454401521,5
do_1141832211808174081137,47
do_1143130137744670721451,21
do_1144362344755036161119,5
do_113697284688936960123,1
do_114353521974337536168,10
do_1142749125629296641463,63
do_1142992040730132481132,58
do_114352241973272576115,53
do_114257983492562944137,85
do_1142064714924113921499,24
do_1140767748693196801520,33
do_114169499254710272166,124
do_1142643265484636161121,31
do_1144732447581470721779,246
do_1143612558021427201816,222
do_1143068175720284161156,3236
do_1143817334971269121621,117
do_114190676360478720150,21
do_1142104430038548481678,16
do_11440672195243212811290,5
do_11436351489546649611408,32
do_1143215624074035201300,25
do_1142007150999142401266,1
do_113967835064369152123,2
do_11439175162904576011251,1108
do_1139261258900193281143,4828
do_1142339924968570881187,53
do_113901776612605952131,16
do_1134673512329707521163,64
do_1140886849046609921102_rc,56
do_1139960159887032321115,16
do_1143542973648322561340,19
do_1138984182773760001447,9
do_114085334432260096152,581
do_114194272542081024189,287
do_1144420300747407361547,42
do_11440719794690457611329,19
do_11437131486678220813,37
do_1140597309069475841210,995
do_1140236053028945921130,68
do_1143463963016724481953,965
do_113982624552230912192,45
do_1142876721497702401210,10
do_11436704742685900811804,437
do_1138758417040588801105,2
do_113932999393918976110,1022
do_1144461379728834561694,5
do_114354127427903488110,739
do_1141850147339386881144,241
do_1144363759235891201204,17
do_1143981874766561281690,10
do_114294967378542592152,84
do_1143167599467069441698,284
do_1141502354527764481613,8
do_113620401950777344144,1
do_1144541343025397761955,32
do_114173786154950656117,1
do_113558608209346560154,16
do_1143478706996101121888,33
do_11433441715024691211185,12
do_114167468784336896117,74
do_1139755789864058881106,48
do_11410923947003904011365,1
do_1136245585081057281307,8
do_114168832993181696148,38
do_1143096065574256641412,4
do_1142883067216527361440_rc,4
do_1141008966736363521142,3
do_1134512595785809921146,8
do_113851768648441856142,5
do_1141200120064737281487,44
do_114324413093732352131,37
do_1143060177349099521571,8
do_113853739744133120148,161
do_1140336411259043841212,1
do_1143225704761589761500,121
do_11447019937074380811126,95
do_1142424672815677441135,411
do_1140492456253276161337,0
do_1138093093777899521174,306
do_11440588892267315211232,1763
do_114263504589914112192,3
do_114017373773127680142,217
do_11431794704397926411321,30
do_1142105278244208641763,124
do_113981996217303040174,113
do_1143117653135523841562,21
do_1135013510912819201208,56
do_1143314967294853121245,14
do_1140116630051307521349,18
do_114430777153658880186,1337
do_1141645709209272321477,712
do_1140759886342963201369,194
do_1143733345774878721197_rc,6
do_1142157089778155521920,65
do_11438466396803072014,13
do_1140590642013061121192,20
do_11417791117049856015,88
do_1143222264464588801418,28
do_114096501378686976150,2
do_1142651221437808641135,210
do_114274301155418112191,41
do_11443058197258240012,43
do_113957823110971392175,67
do_1143989111526440961829,4
do_1142218940397977601275,1
do_1141495802643005441549,1
do_114278536336515072175,75
do_1142932720934666241383,2
do_1142005267329024001201,144
do_114386703973998592192,1
do_113554458817142784113,206
do_1143733941589032961266_rc,4
do_11404568710296371212287,1
do_1138913862416056321239,99
do_1144518468271226881763,95
do_1143896514604400641230,13
do_11447034411220992011179,76
do_1143486262428876801969,22
do_1140045175460085761254,45
do_1141368080837672961273,26
do_1142643259250524161239,60
do_1143039430949109761484,6
do_113724936763711488131,26
do_114086017847410688166,33
do_114020193422221312179,200
do_1142983981950894081617,8
do_1144052568195235841443,28
do_1134612146014617601861,328
do_1142552211184271361192,52
do_1136357041133076481833,2
do_113957756685369344180_rc,4
do_113975621937340416182,1
do_113872322012422144140,14
do_114182835305988096192,4
do_1144760299675238401944,159
do_113569936985399296131,2
do_1142133811619184641301,90
do_1144454730524917761459,29
do_1134122383049932801122,249
do_1143323025806376961328,13
do_1143675675050967041918,175
do_113827508026679296123,133
do_1140108681152512001321,36
do_11390116227570892813,316
do_113912500861009920136,204
do_114094544732119040129,216
do_114360000400752640113,64
do_1139846519534469121107,300
do_113897333530951680114,85
do_1142686263287726081388,4
do_1138582111773245441107,81
do_114180698157826048152,138
do_1141534070151987201679,2538
do_1138609529770803201126,187
do_1143859287538237441201_rc,9
do_1140116648927150081312,10
do_113817068437323776152,1
do_1143032037264179201339,8
do_114192890650173440125,36
do_114169673907634176166,4
do_1139260842051829761126,143
do_1139310157519585281204,9
do_11372418276580556816,12
do_114363328476692480119,57
do_114400976430129152156,134
do_1143860846918778881982,13
do_1143166853070028801812,775
do_1142274723970498561498,248
