entity_id,comment
do_113729186519785472154,pdf of personal efectiveneß and creative thinking is not opening
do_113729186519785472154,personal effectiveness and creative thinking pdfs are not opening 
do_113729186519785472154,how we can complete without opening pdf
do_113729186519785472154,"personal effectiveness and creative thinking pdf has not been open, how can complete "
do_113729186519785472154,"Sir personal effectiveness and creative thinking pdfhas not  open ,  how can complete without opening pdf "
do_113729186519785472154,sir personal effectiveness & creative thinking pdf is not opening then how to.complete
do_113729186519785472154,PERSONAL EFFECTIVENESS AND CREATIVE THINKING DO NOT OPEN. PLEASE RESOLVE IT.
do_113729186519785472154,creative thinking pdf not opening 
do_113729186519785472154,PDF not playing 
do_113729186519785472154,pdf Non executive personal effectiveness and creative thinking is not opening. how to complete course?
do_113729186519785472154,pdf Non executive personal effectiveness and creative thinking is not opening. how to complete course?
do_113729186519785472154,error 
do_113729186519785472154,"Personal effectiveness and creative thinking modules not opening, due to which course not completed, Kindly do the needful please...."
do_113729186519785472154,98% training comoketed but to modules not openi g.. unable to complete
do_113729186519785472154,same 2 modules. not openi g...
do_113729186519785472154,PDF not opening plz solved 
do_113729186519785472154,sc
do_113729186519785472154,sc
do_113729186519785472154,sc
do_113729186519785472154,sc
do_113729186519785472154,sc
do_113729186519785472154,personnel effictiveness not open
do_113729186519785472154,creative thinking pdf not opening 
do_113729186519785472154,personal effectiveness & creative thinking pdf not open. please resolve issues to complete aver all progress.
do_113729186519785472154,"Some content to be recheck,"
do_113729186519785472154,could not complete because of PDF  Not opening. Pl resolve the issue.
do_113729186519785472154,could not complete as pdf are not openings 
do_113729186519785472154,could not complete as pdf are not opening  
do_113729186519785472154,could not complete as pdf critical thinking and personal effectiveness are not opening  please resolve the issue 
do_113729186519785472154,"PDF document namely Critical thinking and Personal effectiveness is not opening, leading to non completion of the course. Kindly resolve it."
do_113729186519785472154,Course is joint and too long. It should first seprated for executive and non executive. peach of voice is very poor it should be made effective.
do_113729186519785472154,"Sir, After logging in to IGOT.  (BSNl Karmayogi Non Executive Section) Q/A are appearing in Hindi, whereas  ppt and notes are in Engilish and my choice is English.  Pl solve the isue. "
do_113729186519785472154,pdf document creative thinking and personnal effectiveness not open leading to non completion non executive course.
do_113729186519785472154,some pdf not opening 
do_113729186519785472154,pdf not open
do_113729186519785472154,Sir course could not completed due to two number PDF file not opened ( Personal Effectiveness and Creative Thinking in Non executive section). Please rectify this problem.
do_113729186519785472154,2 pdf files are not opening. (personal effectiveness and creative thinking.pl resolve matter early to complete training.
do_113729186519785472154,Open in chrome
do_113729186519785472154,Open in chrome
do_113729186519785472154,Open in chrome
do_113729186519785472154,swipe the screen up and down and it will open.. 
do_113729186519785472154,or tap four to five times and it will open
do_113729186519785472154,tap many times and it will open
do_113729186519785472154,"two pdf not open, could not complete course"
do_113729186519785472154,opened in computer
do_113729186519785472154,3 PDFs are not open .And how to complete. Let me know please.
